Source,Target,Type,Id,Label,timeset,Weight
400,467,Directed,7949,,,1
400,492,Directed,7950,,,1
401,484,Directed,7951,,,1
402,434,Directed,7952,,,1
402,442,Directed,7953,,,1
402,477,Directed,7954,,,1
402,499,Directed,7955,,,1
403,426,Directed,7956,,,1
403,431,Directed,7957,,,1
403,449,Directed,7958,,,1
403,456,Directed,7959,,,1
403,478,Directed,7960,,,1
403,487,Directed,7961,,,1
403,494,Directed,7962,,,1
404,431,Directed,7963,,,1
404,432,Directed,7964,,,1
404,440,Directed,7965,,,1
404,450,Directed,7966,,,1
404,466,Directed,7967,,,1
404,486,Directed,7968,,,1
404,494,Directed,7969,,,1
405,426,Directed,7970,,,1
405,486,Directed,7971,,,1
406,414,Directed,7972,,,1
406,429,Directed,7973,,,1
406,432,Directed,7974,,,1
406,470,Directed,7975,,,1
406,472,Directed,7976,,,1
406,476,Directed,7977,,,1
407,408,Directed,7978,,,1
407,412,Directed,7979,,,1
407,416,Directed,7980,,,1
407,433,Directed,7981,,,1
407,460,Directed,7982,,,1
407,464,Directed,7983,,,1
408,421,Directed,7984,,,1
408,431,Directed,7985,,,1
408,441,Directed,7986,,,1
408,479,Directed,7987,,,1
408,486,Directed,7988,,,1
408,494,Directed,7989,,,1
409,431,Directed,7990,,,1
409,458,Directed,7991,,,1
409,484,Directed,7992,,,1
410,443,Directed,7993,,,1
410,455,Directed,7994,,,1
410,484,Directed,7995,,,1
411,434,Directed,7996,,,1
411,442,Directed,7997,,,1
411,451,Directed,7998,,,1
411,463,Directed,7999,,,1
411,492,Directed,8000,,,1
411,497,Directed,8001,,,1
412,413,Directed,8002,,,1
412,439,Directed,8003,,,1
412,450,Directed,8004,,,1
412,456,Directed,8005,,,1
412,470,Directed,8006,,,1
412,489,Directed,8007,,,1
412,492,Directed,8008,,,1
413,434,Directed,8009,,,1
413,446,Directed,8010,,,1
413,460,Directed,8011,,,1
413,482,Directed,8012,,,1
414,430,Directed,8013,,,1
414,477,Directed,8014,,,1
414,480,Directed,8015,,,1
415,440,Directed,8016,,,1
415,482,Directed,8017,,,1
415,487,Directed,8018,,,1
416,438,Directed,8019,,,1
416,445,Directed,8020,,,1
416,461,Directed,8021,,,1
416,477,Directed,8022,,,1
417,425,Directed,8023,,,1
417,462,Directed,8024,,,1
418,432,Directed,8025,,,1
418,433,Directed,8026,,,1
418,490,Directed,8027,,,1
419,464,Directed,8028,,,1
419,478,Directed,8029,,,1
421,472,Directed,8030,,,1
421,491,Directed,8031,,,1
421,498,Directed,8032,,,1
422,423,Directed,8033,,,1
422,468,Directed,8034,,,1
422,471,Directed,8035,,,1
422,489,Directed,8036,,,1
423,430,Directed,8037,,,1
423,436,Directed,8038,,,1
423,494,Directed,8039,,,1
424,427,Directed,8040,,,1
424,436,Directed,8041,,,1
424,457,Directed,8042,,,1
425,442,Directed,8043,,,1
425,461,Directed,8044,,,1
425,463,Directed,8045,,,1
426,429,Directed,8046,,,1
426,438,Directed,8047,,,1
426,447,Directed,8048,,,1
426,453,Directed,8049,,,1
427,461,Directed,8050,,,1
427,469,Directed,8051,,,1
428,452,Directed,8052,,,1
428,457,Directed,8053,,,1
428,493,Directed,8054,,,1
429,447,Directed,8055,,,1
429,449,Directed,8056,,,1
