Source,Target,Type,Id,Label,timeset,Weight
700,701,Directed,13673,,,1
700,702,Directed,13674,,,1
700,703,Directed,13675,,,1
700,704,Directed,13676,,,1
700,705,Directed,13677,,,1
700,706,Directed,13678,,,1
700,707,Directed,13679,,,1
700,708,Directed,13680,,,1
700,709,Directed,13681,,,1
700,710,Directed,13682,,,1
700,711,Directed,13683,,,1
700,712,Directed,13684,,,1
700,713,Directed,13685,,,1
700,714,Directed,13686,,,1
700,715,Directed,13687,,,1
700,716,Directed,13688,,,1
700,717,Directed,13689,,,1
700,718,Directed,13690,,,1
700,719,Directed,13691,,,1
700,720,Directed,13692,,,1
700,721,Directed,13693,,,1
700,723,Directed,13694,,,1
700,724,Directed,13695,,,1
700,725,Directed,13696,,,1
700,726,Directed,13697,,,1
700,728,Directed,13698,,,1
700,729,Directed,13699,,,1
700,730,Directed,13700,,,1
700,731,Directed,13701,,,1
700,733,Directed,13702,,,1
700,734,Directed,13703,,,1
700,735,Directed,13704,,,1
700,736,Directed,13705,,,1
700,737,Directed,13706,,,1
700,738,Directed,13707,,,1
700,740,Directed,13708,,,1
700,741,Directed,13709,,,1
700,742,Directed,13710,,,1
700,743,Directed,13711,,,1
700,744,Directed,13712,,,1
700,748,Directed,13713,,,1
700,749,Directed,13714,,,1
700,750,Directed,13715,,,1
700,751,Directed,13716,,,1
700,752,Directed,13717,,,1
700,753,Directed,13718,,,1
700,754,Directed,13719,,,1
700,755,Directed,13720,,,1
700,756,Directed,13721,,,1
700,757,Directed,13722,,,1
700,758,Directed,13723,,,1
700,759,Directed,13724,,,1
700,760,Directed,13725,,,1
700,761,Directed,13726,,,1
700,763,Directed,13727,,,1
700,764,Directed,13728,,,1
700,765,Directed,13729,,,1
700,769,Directed,13730,,,1
700,770,Directed,13731,,,1
700,771,Directed,13732,,,1
700,773,Directed,13733,,,1
700,774,Directed,13734,,,1
700,775,Directed,13735,,,1
700,776,Directed,13736,,,1
700,779,Directed,13737,,,1
700,780,Directed,13738,,,1
700,781,Directed,13739,,,1
700,783,Directed,13740,,,1
700,784,Directed,13741,,,1
700,785,Directed,13742,,,1
700,786,Directed,13743,,,1
700,787,Directed,13744,,,1
700,788,Directed,13745,,,1
700,789,Directed,13746,,,1
700,790,Directed,13747,,,1
700,791,Directed,13748,,,1
700,792,Directed,13749,,,1
700,793,Directed,13750,,,1
700,795,Directed,13751,,,1
700,796,Directed,13752,,,1
700,797,Directed,13753,,,1
700,798,Directed,13754,,,1
700,799,Directed,13755,,,1
701,702,Directed,13756,,,1
701,704,Directed,13757,,,1
701,705,Directed,13758,,,1
701,706,Directed,13759,,,1
701,707,Directed,13760,,,1
701,708,Directed,13761,,,1
701,709,Directed,13762,,,1
701,710,Directed,13763,,,1
701,711,Directed,13764,,,1
701,712,Directed,13765,,,1
701,713,Directed,13766,,,1
701,714,Directed,13767,,,1
701,716,Directed,13768,,,1
701,717,Directed,13769,,,1
701,719,Directed,13770,,,1
701,720,Directed,13771,,,1
701,721,Directed,13772,,,1
701,722,Directed,13773,,,1
701,723,Directed,13774,,,1
701,724,Directed,13775,,,1
701,725,Directed,13776,,,1
701,726,Directed,13777,,,1
701,727,Directed,13778,,,1
701,728,Directed,13779,,,1
701,729,Directed,13780,,,1
701,730,Directed,13781,,,1
701,731,Directed,13782,,,1
701,733,Directed,13783,,,1
701,734,Directed,13784,,,1
701,736,Directed,13785,,,1
701,737,Directed,13786,,,1
701,738,Directed,13787,,,1
701,739,Directed,13788,,,1
701,741,Directed,13789,,,1
701,742,Directed,13790,,,1
701,744,Directed,13791,,,1
701,745,Directed,13792,,,1
701,746,Directed,13793,,,1
701,747,Directed,13794,,,1
701,748,Directed,13795,,,1
701,749,Directed,13796,,,1
701,751,Directed,13797,,,1
701,753,Directed,13798,,,1
701,754,Directed,13799,,,1
701,755,Directed,13800,,,1
701,756,Directed,13801,,,1
701,757,Directed,13802,,,1
701,758,Directed,13803,,,1
701,759,Directed,13804,,,1
701,760,Directed,13805,,,1
701,761,Directed,13806,,,1
701,762,Directed,13807,,,1
701,763,Directed,13808,,,1
701,764,Directed,13809,,,1
701,765,Directed,13810,,,1
701,767,Directed,13811,,,1
701,769,Directed,13812,,,1
701,771,Directed,13813,,,1
701,772,Directed,13814,,,1
701,773,Directed,13815,,,1
701,774,Directed,13816,,,1
701,775,Directed,13817,,,1
701,776,Directed,13818,,,1
701,777,Directed,13819,,,1
701,778,Directed,13820,,,1
701,779,Directed,13821,,,1
701,781,Directed,13822,,,1
701,782,Directed,13823,,,1
701,784,Directed,13824,,,1
701,785,Directed,13825,,,1
701,786,Directed,13826,,,1
701,787,Directed,13827,,,1
701,788,Directed,13828,,,1
701,790,Directed,13829,,,1
701,793,Directed,13830,,,1
701,794,Directed,13831,,,1
701,795,Directed,13832,,,1
701,796,Directed,13833,,,1
701,797,Directed,13834,,,1
701,799,Directed,13835,,,1
702,705,Directed,13836,,,1
702,706,Directed,13837,,,1
702,707,Directed,13838,,,1
702,708,Directed,13839,,,1
702,709,Directed,13840,,,1
702,710,Directed,13841,,,1
702,711,Directed,13842,,,1
702,713,Directed,13843,,,1
702,714,Directed,13844,,,1
702,716,Directed,13845,,,1
702,717,Directed,13846,,,1
702,718,Directed,13847,,,1
702,719,Directed,13848,,,1
702,720,Directed,13849,,,1
